location,followers,comments,coordinates,language,geometry,sentiment
,973,D'un nombre a un altre nombre hi ha infinites possibilitats que mai veurem resoltes. Els càlculs són aproximacions… https://t.co/5JW9F4GQlc,,ca,"[[[2.187074, 41.433463], [2.187074, 41.47346], [2.222536, 41.47346], [2.222536, 41.433463]]]",
"London, United Kingdom",138031,confirmed coronavirus cases increase,POINT (-0.12485951 51.50538967),en,"[[[-0.187894, 51.483718], [-0.187894, 51.516466], [-0.109978, 51.516466], [-0.109978, 51.483718]]]",2.0
"Barcelona, Espanya",445,"≈40,9 km (intensitat 3/10, superfície 0.1/10)
https://t.co/sArIiPBRFd

(25/11/20 08:17) #Barcelona #BCN https://t.co/KdDeRZjubr",POINT (2.183333 41.383333),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
"Los Angeles, California",33,people likely come closer contact family might,,en,"[[[-118.250227, 33.732905], [-118.250227, 33.885438], [-118.063194, 33.885438], [-118.063194, 33.732905]]]",2.0
Madrid | Barcelona (Spain),54,hoy sala personalización relación cliente nuevo reto,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
"Tampa, FL",254261,última hora coronavirus madrid plantea ampliar reuniones personas navidad,,es,"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",0.0
"Los Angeles, CA",1463,back home city actually lockdown upset dispensaries closed,,en,"[[[-118.317804, 33.916377], [-118.317804, 33.931268], [-118.291514, 33.931268], [-118.291514, 33.916377]]]",2.0
"Barcelona, Spain",1694,bichota mood,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
,44,sick people claim rights refuse wear mask,,en,"[[[-81.046876, 35.001706], [-81.046876, 35.416412], [-80.646695, 35.416412], [-80.646695, 35.001706]]]",0.0
Stinky Boot,167,even joke,,en,"[[[-72.88753, 41.396625], [-72.88753, 41.516538], [-72.746075, 41.516538], [-72.746075, 41.396625]]]",
"San Diego, CA",1,lady assaulted gay man bc mask min sniffed colognes macys,,en,"[[[-117.282538, 32.53962], [-117.282538, 33.080404], [-116.92744, 33.080404], [-116.92744, 32.53962]]]",2.0
"Berruguete, 126 - BARCELONA",714,alimara conecta participantes virtuales asistentes,,es,"[[[2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939]]]",0.0
"Sants, Barcelona, Catalunya ",1336,@CBinvaders @Roigesuncolor @silviacasorran @raquelvelag @nuriperezsans @anayaesther @m_garciablasco @Neleeta… https://t.co/ZgF3SvqnxW,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
"Branford, CT",922,restaurants closed since beginning connecticut restaurant,,en,"[[[-72.864342, 41.248445], [-72.864342, 41.324367], [-72.731485, 41.324367], [-72.731485, 41.248445]]]",2.0
Paraguay,138,cierto,,es,"[[[-57.81535, -25.984291], [-57.81535, -25.108891], [-57.155006, -25.108891], [-57.155006, -25.984291]]]",0.0
Kampala Uganda,112,driwale assistant commisioner vaccines immunization registrar,,en,"[[[32.416623, 0.164853], [32.416623, 0.413682], [32.721697, 0.413682], [32.721697, 0.164853]]]",2.0
"Northfield, MN",2625,guess maaaaaybe mild cold course omg even,,en,"[[[-93.201231, 44.422625], [-93.201231, 44.47687], [-93.127284, 44.47687], [-93.127284, 44.422625]]]",2.0
"Reno, NV",624,board members voted secondary students washoe county school district temporarily,,en,"[[[-119.953849, 39.350749], [-119.953849, 39.674123], [-119.700515, 39.674123], [-119.700515, 39.350749]]]",2.0
"Geneva, Switzerland",1424,thank guidance support worked african countries,,en,"[[[7.19246, 46.416068], [7.19246, 46.583965], [7.387162, 46.583965], [7.387162, 46.416068]]]",1.0
"Nairobi, Kenya",8688,imagine people dying last moments still believe hoax bc said tragic horrifying,,en,"[[[36.664573, -1.389053], [36.664573, -1.160674], [37.062667, -1.160674], [37.062667, -1.389053]]]",2.0
,168,covid spike delhi due delhi covid situation international travel students,,en,"[[[72.80161, 19.16162], [72.80161, 19.593413], [73.03441, 19.593413], [73.03441, 19.16162]]]",2.0
,48,debe considerarse contexto modelo ve síntomas,,es,"[[[-0.454832, 38.384924], [-0.454832, 38.427349], [-0.406641, 38.427349], [-0.406641, 38.384924]]]",0.0
,157,merkel mirado vídeo vale pena,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Ginebra, Suiza",2151,see goes,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2.0
"Berruguete, 126 - BARCELONA",714,alimara conecta participantes virtuales asistentes,,es,"[[[2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939]]]",0.0
Barcelona - Alicante,35086,quitándote ansiedad llevas,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Barcelona, España",401,bala cañon,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
Bogotá 📍,955,pasa,,es,"[[[-74.483289, 3.717432], [-74.483289, 4.807135], [-74.004053, 4.807135], [-74.004053, 3.717432]]]",2.0
,4552,interesting,,en,"[[[-123.478699, 48.433384], [-123.478699, 48.559067], [-123.262977, 48.559067], [-123.262977, 48.433384]]]",
,41,tetodo independentista falsos,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
Lahore / Chishtian,7275,mindset nafisah shah mindset whole,,en,"[[[69.328873, 27.708226], [69.328873, 34.019989], [75.382124, 34.019989], [75.382124, 27.708226]]]",2.0
"London, sadly not Gods County",1483,looks like prediction coming vaccination international,,en,"[[[-0.254269, 51.379947], [-0.254269, 51.441804], [-0.124309, 51.441804], [-0.124309, 51.379947]]]",2.0
"Zhuji, Zhejiang, China",31,children super comfortable good quality,,en,"[[[117.998322, 27.14303], [117.998322, 31.176662], [122.65458, 31.176662], [122.65458, 27.14303]]]",1.0
"Washington Heights, Manhattan",589,mask,,en,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",2.0
"Barcelona, España",345,planeta llama roshar,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
"Red Sea, Egypt",1867,,POINT (32.5491 29.9722),en,"[[[31.860555, 28.965008], [31.860555, 30.303674], [32.834287, 30.303674], [32.834287, 28.965008]]]",
,766,great,,en,"[[[-112.93618, 49.620144], [-112.93618, 49.756615], [-112.756536, 49.756615], [-112.756536, 49.620144]]]",
,1632,sigo endiosado refiriendose tío sigue javier negre,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
Barcelona,496,gracias trabajazo hacéis frliz ser parte familia yaq,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
Huelva ,1939,empiece administrarse vacuna disminuirá,,es,"[[[-6.905559, 37.296437], [-6.905559, 37.403855], [-6.752417, 37.403855], [-6.752417, 37.296437]]]",0.0
Wherever ,997,please resign take wretched government,,en,"[[[-2.336433, 52.369428], [-2.336433, 52.38494], [-2.296028, 52.38494], [-2.296028, 52.369428]]]",2.0
Barcelona,269,"A la classe dels #Pirates #2nprimària estan treballant  els #éssers vius i per grups han pintat els mamífers, els r… https://t.co/50FcJIb3oC",,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
,41,igualitos,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Portsmouth, NH",2068,nhs covid death rate astronomically high scary really,,en,"[[[-71.014742, 43.239714], [-71.014742, 43.378501], [-70.905946, 43.378501], [-70.905946, 43.239714]]]",0.0
Barcelona,83,verdad invención,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2.0
,1411,sienta mesa ponerse hacer cálculos dejar tío plasta cuñada,,es,"[[[-2.98601, 43.213654], [-2.98601, 43.290145], [-2.880325, 43.290145], [-2.880325, 43.213654]]]",0.0
San Juan del Puerto (Huelva),2651,empiece administrarse vacuna disminuirá,,es,"[[[-6.905559, 37.296437], [-6.905559, 37.403855], [-6.752417, 37.403855], [-6.752417, 37.296437]]]",0.0
,822,street hb vouch bad everywhere hb,,en,"[[[-118.082615, 33.628991], [-118.082615, 33.756093], [-117.91485, 33.756093], [-117.91485, 33.628991]]]",2.0
,91,,,en,"[[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]]",
"Lynwood, CA",406,sucks seeing family thanksgiving possibly please pray,,en,"[[[-117.834663, 34.018283], [-117.834663, 34.112618], [-117.711171, 34.112618], [-117.711171, 34.018283]]]",
"Barcelona, España",12,q ser estém criteri per favor,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
,170,great demonstration minimise risk continue live life little,,en,"[[[-2.142873, 51.861864], [-2.142873, 51.930763], [-2.032676, 51.930763], [-2.032676, 51.861864]]]",1.0
,559,helpful,,en,"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",
Nigeria,3923,care may hit post covid manufacturing rush,,en,"[[[5.02008, 5.010849], [5.02008, 6.502068], [6.768461, 6.502068], [6.768461, 5.010849]]]",2.0
Barcelona,3193,vivimos sabía coldplay nueva,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Peace River, Alberta",337,love loudest chirpers social ruining,,en,"[[[-120.001814, 56.245924], [-120.001814, 58.080828], [-116.914563, 58.080828], [-116.914563, 56.245924]]]",1.0
,556,seguro opinan mismo familiares fallecidos covid atendidos,,es,"[[[-3.80752, 40.202103], [-3.80752, 40.255894], [-3.733381, 40.255894], [-3.733381, 40.202103]]]",2.0
xanthophilia,625,beautiful ply premium mask available men even headloop mask,,en,"[[[101.73111, 3.149887], [101.73111, 3.297668], [101.849109, 3.297668], [101.849109, 3.149887]]]",2.0
Islamabad,228,,,en,"[[[73.022194, 33.662724], [73.022194, 33.762138], [73.131447, 33.762138], [73.131447, 33.662724]]]",
Spain,19422,covid recovery group threatens recovery covid crg like,,en,"[[[0.153375, 40.203354], [0.153375, 40.393417], [0.32228, 40.393417], [0.32228, 40.203354]]]",2.0
"Hyderabad, India",532,new positive discharges death reported till,,en,"[[[78.426176, 17.234568], [78.426176, 17.495638], [78.770343, 17.495638], [78.770343, 17.234568]]]",2.0
,188,corazón quieren sólo corazón francisco quevedo vía,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",2.0
Asturias,11900,españa supera muertos da,,es,"[[[-5.948078, 43.553966], [-5.948078, 43.659232], [-5.76759, 43.659232], [-5.76759, 43.553966]]]",2.0
Asgardia,12972,psicologico tambien,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",0.0
"Badalona, Espanya",650,Ni una menys!,,ca,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",
Netherlands,151,south faroe russia us reported cases,,en,"[[[4.190347, 52.014871], [4.190347, 52.138865], [4.422444, 52.138865], [4.422444, 52.014871]]]",2.0
South West,55058,chancellor says planning still using pandemic excuse,,en,"[[[-2.272842, 51.721517], [-2.272842, 51.769296], [-2.190976, 51.769296], [-2.190976, 51.721517]]]",2.0
Barcelona,123,levantarte mañana ir hacer cola comisaría poder,,es,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",2.0
venezuela,34,si entregara cuadro bicicleta medio criticarlo,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
Gville ➡️ Ridgeland,1028,mom virgo blueprint stand female get along,,en,"[[[-90.181179, 32.399351], [-90.181179, 32.459434], [-90.067498, 32.459434], [-90.067498, 32.399351]]]",2.0
"Malibu, CA",76,research really support notion outdoor dining fueling spread,,en,"[[[-118.873235, 34.000405], [-118.873235, 34.04779], [-118.584559, 34.04779], [-118.584559, 34.000405]]]",2.0
"Barcelona, España",729,"Aprenem, comprovem, practiquem, compartim... gaudir aprenent #scratch i #makeymakey per construir un #inventmusical… https://t.co/99E6jDHEkM",,ca,"[[[2.157388, 41.414316], [2.157388, 41.414316], [2.157388, 41.414316], [2.157388, 41.414316]]]",
"Barcelona, España",12,mismos q defendieron,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
,1307,odd deal deserve mention discussion finance situation given,,en,"[[[-6.036116, 54.543241], [-6.036116, 54.648497], [-5.82071, 54.648497], [-5.82071, 54.543241]]]",2.0
,67,tío grave covid camas disponibles hospitalizar oxígeno tenia,,es,"[[[-83.051445, 7.20386], [-83.051445, 9.639486], [-77.13939, 9.639486], [-77.13939, 7.20386]]]",0.0
blackwood ni,234,santa want something used fits wallet,,en,"[[[-75.088811, 39.726424], [-75.088811, 39.852636], [-74.968468, 39.852636], [-74.968468, 39.726424]]]",2.0
,58727,Aquest abandonament a la seva sort d'empreses i autònoms està essent percebut com un desistiment l'administració de… https://t.co/K3FDPf6rHC,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
"Barcelona, España",90,si gusta catalunya,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Portland, OR",525,relaxing exam paint sesh would gone rendition,,en,"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",2.0
Barcelona,1670,hicieron interesante estudio tener cuenta,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",1.0
"Barcelona, España",64,periodista sansebastian tan derechista rictus cara,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",0.0
"Gloucester, England",507,please read thread entirety,,en,"[[[-2.28129, 51.821982], [-2.28129, 51.884201], [-2.177545, 51.884201], [-2.177545, 51.821982]]]",2.0
República Catalana,1068,donald,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2.0
"Barcelona, España.",120,render imitar,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2.0
,198,covidiots thinking smarter year,,en,"[[[-113.693259, 37.146358], [-113.693259, 37.188502], [-113.651627, 37.188502], [-113.651627, 37.146358]]]",
"Barcelona, España",35,jajaja pilladas trampas,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Broadstairs, England",61,liverpool find loophole covid rules salah returns days positive,,en,"[[[1.043809, 51.25326], [1.043809, 51.300251], [1.136462, 51.300251], [1.136462, 51.25326]]]",2.0
,644,um ok nvm three staff tested positive covid,,en,"[[[-156.359376, 20.804118], [-156.359376, 20.850458], [-156.318233, 20.850458], [-156.318233, 20.804118]]]",1.0
,52,brahmin left,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2.0
"Sacramento, CA",1326,family dead publix worker files lawsuit alleging grocery chain stopped wearing face,,en,"[[[-121.576613, 38.43792], [-121.576613, 38.685524], [-121.362715, 38.685524], [-121.362715, 38.43792]]]",2.0
United Kingdom,728,daughter carer helped duty yesterday shovelling coal elderly ladies however got,,en,"[[[-1.1498, 51.222613], [-1.1498, 51.303039], [-1.039377, 51.303039], [-1.039377, 51.222613]]]",2.0
Barcelona,99,,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
Barcelona,1670,puede salir ironía modo on,,es,"[[[-18.160695, 27.63775], [-18.160695, 43.790388], [4.327985, 43.790388], [4.327985, 27.63775]]]",0.0
Australia,955,literally definition heard,,en,"[[[152.668523, -27.767441], [152.668523, -26.996845], [153.31787, -26.996845], [153.31787, -27.767441]]]",2.0
"Warwick, RI",81647,blocked safe act securing blocked heroes act providing vital relief,,en,"[[[-71.518925, 41.629501], [-71.518925, 41.76838], [-71.354415, 41.76838], [-71.354415, 41.629501]]]",1.0
"Ankara, Türkiye",171,negative depression positive,,en,"[[[32.783577, 39.957727], [32.783577, 40.043205], [32.900297, 40.043205], [32.900297, 39.957727]]]",0.0
Cardiff & Barcelona,483,massive good wondering embracing failure,,en,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",0.0
"El Paso, Texas ",2023,speak others tell wear mask sanitize,,en,"[[[-106.634874, 31.620668], [-106.634874, 31.966068], [-106.199987, 31.966068], [-106.199987, 31.620668]]]",2.0
,33,good hope,,en,"[[[-1.498746, 54.988178], [-1.498746, 55.067841], [-1.417312, 55.067841], [-1.417312, 54.988178]]]",
"Haverfordwest, Wales, UK",2215,sorry calling eventual us fatalities reach pandemic,,en,"[[[-5.00763, 51.784003], [-5.00763, 51.818157], [-4.952157, 51.818157], [-4.952157, 51.784003]]]",0.0
Parts Unknown,658,guess birthday alone since covid b,,en,"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",2.0
"Pacifica, CA",424,cares fraud mask hand sanitizer,,en,"[[[-122.515276, 37.565624], [-122.515276, 37.666566], [-122.442863, 37.666566], [-122.442863, 37.565624]]]",
East Midlands,594,science whatever need right get,,en,"[[[-1.408026, 53.068076], [-1.408026, 53.082102], [-1.379386, 53.082102], [-1.379386, 53.068076]]]",2.0
Barcelona,2844,reto bravo tocando horas seguidas pieza erik,,es,"[[[2.173606, 41.380713], [2.173606, 41.380713], [2.173606, 41.380713], [2.173606, 41.380713]]]",0.0
widnes,4271,fbi hate trump cia hate trump china hate trump blm hate trump media hate,,en,"[[[-2.784107, 53.341503], [-2.784107, 53.395284], [-2.697338, 53.395284], [-2.697338, 53.341503]]]",0.0
Barcelona,19361,demasiado doblaría tiempo propio peso ser entablille,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",2.0
Sevilla,2063,buenos noviembre fun nacido,,es,"[[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.81866, 37.452783], [-5.81866, 37.313613]]]",0.0
City of the fallen angels,966,magically disappear,,en,"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",0.0
"Sants, Barcelona, Catalunya ",1336,@CBinvaders @Roigesuncolor @silviacasorran @raquelvelag @nuriperezsans @anayaesther @m_garciablasco @Neleeta… https://t.co/VtNbKJHYux,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
"Frankfurt on the Main, Germany",1791,good morning coffee still wants,,en,"[[[7.976504, 49.929706], [7.976504, 50.009178], [8.137587, 50.009178], [8.137587, 49.929706]]]",2.0
"Milton, WV",389,covid issue weak left wants gets shit together,,en,"[[[-82.530433, 38.375981], [-82.530433, 38.439347], [-82.349236, 38.439347], [-82.349236, 38.375981]]]",0.0
Barcelona,205,pues mirado ver si veia,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2.0
"Brentwood, TN",911,guess deaths,,en,"[[[-86.869446, 35.939893], [-86.869446, 36.05065], [-86.686525, 36.05065], [-86.686525, 35.939893]]]",2.0
"Stockholm, Sweden",14,crazy bill gates doesnt evan hide,,en,"[[[14.143556, 59.997217], [14.143556, 60.419603], [15.245579, 60.419603], [15.245579, 59.997217]]]",2.0
"Sydney, New South Wales",1702,surely parliamentary approval government fly private citizen world,,en,"[[[150.520929, -34.118347], [150.520929, -33.578141], [151.343021, -33.578141], [151.343021, -34.118347]]]",1.0
"Soweto, South Africa",117,deep,,en,"[[[27.751856, -26.512649], [27.751856, -26.039628], [28.18434, -26.039628], [28.18434, -26.512649]]]",2.0
,1416,life depends,,en,"[[[-94.421887, 44.852448], [-94.421887, 44.914174], [-94.333293, 44.914174], [-94.333293, 44.852448]]]",2.0
Barcelona,205,pensado tren,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
France,12263,news,,en,"[[[-5.141593, 41.364659], [-5.141593, 51.088771], [9.559831, 51.088771], [9.559831, 41.364659]]]",2.0
"Long Beach, CA",1444,gonna take mask friday cause working friday start coughing,,en,"[[[-118.250227, 33.732905], [-118.250227, 33.885438], [-118.063194, 33.885438], [-118.063194, 33.732905]]]",2.0
,526,,,en,"[[[-78.916774, 42.696345], [-78.916774, 42.789724], [-78.783331, 42.789724], [-78.783331, 42.696345]]]",
,41,luckily globalists make olympic event covid could received,,en,"[[[101.615161, 3.0332], [101.615161, 3.244548], [101.758774, 3.244548], [101.758774, 3.0332]]]",2.0
"Oceanside, CA",66,give people need help,,en,"[[[-117.399853, 33.152639], [-117.399853, 33.299993], [-117.241905, 33.299993], [-117.241905, 33.152639]]]",2.0
Barcelona,581,propuesta lectura sección rincón edición noviembre,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
"Faaborg, Denmark",13202,story declining infection numbers still seeing high numbers deaths,,en,"[[[10.360546, 54.942943], [10.360546, 55.221741], [10.812611, 55.221741], [10.812611, 54.942943]]]",2.0
Barcelona,267,Acaba de publicar una foto en Centre Cívic Sagrada Família https://t.co/3varmMQes4,POINT (2.1765811 41.40589451),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
,159,pacto toledo ataque pensiones públicas,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Oakland, California",458,family story already way,,en,"[[[-84.057671, 9.926093], [-84.057671, 9.939167], [-84.039452, 9.939167], [-84.039452, 9.926093]]]",2.0
France,12263,news,,en,"[[[-5.141593, 41.364659], [-5.141593, 51.088771], [9.559831, 51.088771], [9.559831, 41.364659]]]",2.0
🇳🇱,1813,,,en,"[[[5.727031, 52.073262], [5.727031, 52.285554], [6.078537, 52.285554], [6.078537, 52.073262]]]",
"Praha, Česká republika",368,millions vaccines reach israel,,en,"[[[14.225243, 49.941904], [14.225243, 50.177256], [14.706508, 50.177256], [14.706508, 49.941904]]]",2.0
Barcelona,49,acaba publicar foto spain,POINT (2.1907 41.4099),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"Barcelona, Spain",10,Que ganas de probar y hacer guapas mis amigas.... Gracias @remingtonesp @theinsiderses en Font Màgica de Montjuïc -… https://t.co/ogpZ5PqsIg,POINT (2.15174586 41.37134962),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
Chennai,489,superb credit must well done covid,,en,"[[[80.234885, 12.970918], [80.234885, 13.077871], [80.288726, 13.077871], [80.288726, 12.970918]]]",1.0
,188,hospitalet llobregat,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",0.0
,767,Demà a les 19h direm Maria-Mercè Marçal al #cccb @ CCCB https://t.co/C10yIhG033,POINT (2.16659358 41.38367951),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
,1632,ve corto ibai culpa stock según gente crispadisima,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
Catterick Garrison North Yorks,174,good morning early case courier collecting test comes bang,,en,"[[[-1.732625, 54.363015], [-1.732625, 54.383985], [-1.694359, 54.383985], [-1.694359, 54.363015]]]",2.0
Barcelona,205,feliz miercoles mayte,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
France,12263,news,,en,"[[[-5.141593, 41.364659], [-5.141593, 51.088771], [9.559831, 51.088771], [9.559831, 41.364659]]]",2.0
,90,conditions almost dickensian covid pointed obvious flaws,,en,"[[[-6.387438, 53.298745], [-6.387438, 53.41106], [-6.107805, 53.41106], [-6.107805, 53.298745]]]",2.0
España,63,hacen podemos hacerlo días sientes,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
"Rosario, Argentina",1076,sacando covid feo asi pegados calor chances,,es,"[[[-60.781306, -33.033993], [-60.781306, -32.869238], [-60.613506, -32.869238], [-60.613506, -33.033993]]]",0.0
"Cincinnati, OH",111,us big mainly americans masking,,en,"[[[-84.710722, 39.052962], [-84.710722, 39.221114], [-84.368903, 39.221114], [-84.368903, 39.052962]]]",2.0
Barcelona,205,buen dia fela,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
"Ginebra, Suiza",2151,story says schmidt cyprus pretty sure would shy away saying,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1.0
,159,sanidad pública calidad,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
Chennai,89,friends helpline whatsapp helpline,,en,"[[[80.1852, 13.041717], [80.1852, 13.091511], [80.271212, 13.091511], [80.271212, 13.041717]]]",
Los Angeles,830,trying hard keep four senior citizens please help staying home zooming,,en,"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",1.0
"Barcelona, Spain",1232,balanceo carga vital si queréis poder cargar necesidad aumentar potencia,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0.0
"San Diego, California",718,h,,en,"[[[-117.282538, 32.53962], [-117.282538, 33.080404], [-116.92744, 33.080404], [-116.92744, 32.53962]]]",2.0
"Auckland, New Zealand",735,managing covid multi australian state victoria good job lockdown,,en,"[[[174.161834, -37.292621], [174.161834, -35.898837], [175.550653, -35.898837], [175.550653, -37.292621]]]",2.0
"Hyderabad, India",532,new recoveries deaths reported state till total,,en,"[[[78.426176, 17.234568], [78.426176, 17.495638], [78.770343, 17.495638], [78.770343, 17.234568]]]",2.0
BARCELONA,1492,Cap al Laberint d’Horta !!! (1) - 29 novembre 2020 -  9 km @ Parc del Laberint d'Horta https://t.co/P6Gv1zl463,POINT (2.14559913 41.44035316),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
Catalunya,1642,"Preparada per a la trucada nenes!!! (@ F.O.C. in Sant Cugat, Cataluña, Catalunya) https://t.co/bws2SEewda https://t.co/l6eJxb5PCz",POINT (2.07142226 41.45769145),ca,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",
